t_AIF [min],AIF [kBq/cc]
0,0
0.0166667,0
0.0333333,0
0.05,0
0.0666667,0
0.0833333,0
0.1,0
0.116667,0
0.133333,0
0.15,0
0.166667,0
0.183333,0
0.2,0
0.216667,0
0.233333,86.6892
0.25,156.741
0.266667,177.757
0.283333,271.078
0.3,286.524
0.316667,212.846
0.333333,176.321
0.35,173.158
0.366667,149.065
0.383333,123.561
0.4,97.3367
0.416667,62.5285
0.433333,42.8098
0.45,47.4203
0.466667,48.2446
0.483333,42.511
0.5,52.6449
0.516667,53.7969
0.533333,51.7263
0.55,60.5035
0.566667,17.1746
0.583333,16.8579
0.6,43.8954
0.616667,51.4079
0.633333,67.0115
0.65,25.1159
0.666667,16.0512
0.683333,24.761
0.7,23.9586
0.716667,32.1398
0.733333,13.9916
0.75,22.9077
0.766667,50.0462
0.783333,15.3401
0.8,14.1782
0.816667,24.1844
0.833333,11.2474
0.85,1.76921
0.866667,13.314
0.883333,13.7991
0.9,-9.0451
0.916667,18.8863
0.933333,23.9455
0.95,22.9642
0.966667,14.6055
0.983333,6.00849
1,18.242
1.01667,18.5553
1.03333,11.8063
1.05,27.2579
1.06667,23.3469
1.08333,17.2262
1.1,-0.569768
1.11667,-14.4383
1.13333,27.5762
1.15,21.842
1.16667,15.8243
1.18333,17.689
1.2,0.551284
1.21667,29.9948
1.23333,24.6981
1.25,6.90664
1.26667,27.328
1.28333,32.3956
1.3,15.7276
1.31667,2.14626
1.33333,2.35113
1.35,14.8537
1.36667,27.9435
1.38333,26.9691
1.4,19.6708
1.41667,12.1234
1.43333,0.0471359
1.45,8.69759
1.46667,37.8792
1.48333,22.4336
1.5,10.0253
1.51667,24.4996
1.53333,12.4407
1.55,22.3371
1.56667,36.1253
1.58333,17.4486
1.6,-0.397963
1.61667,15.8184
1.63333,30.8305
1.65,3.74102
1.66667,-7.64295
1.68333,22.4449
1.7,32.4649
1.71667,10.3076
1.73333,6.56986
1.75,30.964
1.76667,26.2871
1.78333,-8.20348
1.8,23.4758
1.81667,33.2924
1.83333,7.31055
1.85,14.3624
1.86667,3.99787
1.88333,21.1046
1.9,25.7319
1.91667,15.6293
1.93333,13.8324
1.95,5.70292
1.96667,17.1775
1.98333,29.625
2,13.0137
2.01667,11.2897
2.03333,12.3112
2.05,31.3454
2.06667,24.8119
2.08333,-6.07392
2.1,3.51292
2.11667,28.1742
2.13333,46.7876
2.15,22.394
2.16667,6.75496
2.18333,4.95312
2.2,-0.0767235
2.21667,12.6043
2.23333,24.6546
2.25,18.5565
2.26667,20.263
2.28333,15.4349
2.3,15.0501
2.31667,24.672
2.33333,12.6591
2.35,1.96489
2.36667,24.4607
2.38333,38.6498
2.4,13.8681
2.41667,9.2048
2.43333,18.9481
2.45,-2.21262
2.46667,2.00852
2.48333,28.1019
2.5,28.8898
2.51667,24.0148
2.53333,10.5153
2.55,11.4526
2.56667,14.6459
2.58333,5.51143
2.6,9.21677
2.61667,17.3194
2.63333,27.2252
2.65,7.48579
2.66667,-14.3808
2.68333,7.59242
2.7,30.3626
2.71667,25.0505
2.73333,5.5459
2.75,17.6491
2.76667,11.4761
2.78333,7.4093
2.8,11.4806
2.81667,12.9476
2.83333,42.2876
2.85,39.8974
2.86667,5.92172
2.88333,-8.16117
2.9,6.36131
2.91667,8.67539
2.93333,12.8892
2.95,26.0311
2.96667,9.09945
2.98333,6.97087
3,18.6876
3.01667,14.7745
3.03333,15.0574
3.05,16.489
3.06667,12.3147
3.08333,11.3458
3.1,17.0589
3.11667,8.24528
3.13333,4.36218
3.15,18.4353
3.16667,14.4188
3.18333,10.5642
3.2,4.80738
3.21667,10.2358
3.23333,35.9397
3.25,20.8125
3.26667,7.96631
3.28333,11.1142
3.3,2.40351
3.31667,3.62623
3.33333,21.7586
3.35,20.599
3.36667,13.2463
3.38333,15.7046
3.4,9.03601
3.41667,19.6523
3.43333,15.1877
3.45,9.26699
3.46667,8.96364
3.48333,8.66029
3.5,9.8139
3.51667,12.3538
3.53333,13.5957
3.55,13.6456
3.56667,13.6954
3.58333,14.1743
3.6,15.1569
3.61667,15.7701
3.63333,15.9367
3.65,16.1033
3.66667,15.7561
3.68333,14.6867
3.7,14.0438
3.71667,14.0547
3.73333,14.0656
3.75,13.2836
3.76667,11.1021
3.78333,9.54101
3.8,9.2737
3.81667,9.00639
3.83333,9.65265
3.85,12.4541
3.86667,14.6132
3.88333,14.7388
3.9,14.8644
3.91667,15.1338
3.93333,15.8314
3.95,16.4398
3.96667,16.6391
3.98333,16.8385
4,16.1884
4.01667,12.2294
4.03333,8.69391
4.05,8.35391
4.06667,8.01391
4.08333,8.09661
4.1,10.6309
4.11667,13.062
4.13333,13.0977
4.15,13.1334
4.16667,13.1971
4.18333,13.5165
4.2,13.8414
4.21667,13.9144
4.23333,13.9875
4.25,13.9989
4.26667,12.0098
4.28333,9.81675
4.3,9.61595
4.31667,9.41514
4.33333,9.21433
4.35,11.6115
4.36667,14.4354
4.38333,14.6721
4.4,14.8284
4.41667,14.9847
4.43333,13.2831
4.45,11.1722
4.46667,10.8977
4.48333,10.7847
4.5,10.6717
4.51667,12.0126
4.53333,13.7839
4.55,14.133
4.56667,14.2454
4.58333,14.3579
4.6,14.131
4.61667,13.7792
4.63333,13.7562
4.65,13.8127
4.66667,13.8693
4.68333,12.4924
4.7,10.4465
4.71667,9.77044
4.73333,9.57217
4.75,9.37391
4.76667,10.0771
4.78333,11.3247
4.8,11.7273
4.81667,11.7058
4.83333,11.6843
4.85,11.1606
4.86667,10.275
4.88333,9.8522
4.9,9.72439
4.91667,9.59659
4.93333,10.3774
4.95,11.9649
4.96667,12.7351
4.98333,12.8199
5,12.9046
5.01667,13.1163
5.03333,13.4622
5.05,13.6967
5.06667,13.814
5.08333,13.9313
5.1,12.6841
5.11667,9.58739
5.13333,7.63275
5.15,7.34577
5.16667,7.05879
5.18333,8.26261
5.2,11.9014
5.21667,14.3476
5.23333,14.5575
5.25,14.7675
5.26667,14.2312
5.28333,12.1468
5.3,10.6156
5.31667,10.5329
5.33333,10.4502
5.35,10.8614
5.36667,12.5479
5.38333,13.9017
5.4,14.0461
5.41667,14.1906
5.43333,13.7541
5.45,11.2957
5.46667,9.15878
5.48333,8.96647
5.5,8.77417
5.51667,8.62158
5.53333,8.68282
5.55,8.73215
5.56667,8.57294
5.58333,8.41374
5.6,8.79615
5.61667,13.633
5.63333,18.5124
5.65,19.0097
5.66667,19.507
5.68333,19.6208
5.7,12.3959
5.71667,4.58288
5.73333,4.05738
5.75,3.53187
5.76667,3.00636
5.78333,7.44992
5.8,12.556
5.81667,12.6931
5.83333,12.8301
5.85,12.9671
5.86667,11.4533
5.88333,9.63252
5.9,9.45097
5.91667,9.35631
5.93333,9.26165
5.95,10.9119
5.96667,13.0327
5.98333,13.4404
6,13.6101